Puzzle Date,Constructor,Day of Week,Cheat Pct,Adjusted Mean,Adjusted Median,Adjusted P75,Adjusted P90,Actual Mean,Actual Median,Actual P75,Actual P90
2021-12-10,Joe DiPietro,Friday,0.19048,0.86357,0.68072,1.23823,1.79678,0.68639,0.56776,0.93033,1.44012
2021-03-19,Kameron Austin Collins,Friday,0.21818,0.751,0.60316,0.98832,1.57419,0.57539,0.60016,0.90121,1.05097
2021-10-06,Jules Markey,Wednesday,0.13235,0.79663,0.49917,0.92105,1.85814,0.66507,0.49055,0.87092,1.1859
2021-06-08,Christopher Adams,Tuesday,0.13514,0.73062,0.4937,0.97059,1.67712,0.63759,0.54985,0.91724,1.17383
2021-05-16,Joe DiPietro,Sunday,0.26786,0.53098,0.48228,0.70308,0.87387,0.44707,0.47341,0.60562,0.79804
2021-05-28,Andrew J. Ries,Friday,0.17857,0.54778,0.4443,0.77634,1.25304,0.49282,0.42104,0.80402,0.9956
2021-07-28,Alex Rosen and Brad Wilber,Wednesday,0.13699,0.49456,0.42148,0.84326,1.18759,0.52934,0.45618,0.80059,1.16853
2021-02-14,Lisa Bunker,Sunday,0.27273,0.49968,0.31644,0.51576,0.76474,0.33539,0.31717,0.5055,0.70603
2021-06-29,Alan Arbesfeld,Tuesday,0.09459,0.47828,0.31329,0.67939,1.10591,0.49796,0.39426,0.67939,1.17719
2021-05-20,Trenton Charlson,Thursday,0.2381,0.45071,0.29842,0.70948,1.29997,0.34183,0.29171,0.51474,0.7957
2021-07-17,Ryan McCarty,Saturday,0.18644,0.38112,0.29465,0.59101,1.25324,0.36285,0.30135,0.60658,0.7893
2021-01-21,Daniel Mauer,Thursday,0.18333,0.42108,0.28533,0.60089,1.08178,0.35968,0.28533,0.51166,0.75492
2021-11-12,Patrick John Duggan,Friday,0.10938,0.483,0.27921,0.68055,1.29356,0.36602,0.27921,0.51902,0.85644
2021-11-11,Mark MacLachlan,Thursday,0.08108,0.4005,0.27474,0.59792,1.01183,0.44522,0.36419,0.69661,1.01183
